briefDescription,description,functionSummary,chromosome,ORF,Gene,phenotypeSummary,orf_strand,end,start,Gene_ORF
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrXVI,YPR145C-A,,,-1,824926,824690,YPR145C-A
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrXVI,YPR084W,,,1,708342,706972,YPR084W
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrXVI,YPR117W,,,1,767494,760025,YPR117W
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrI,YAL037C-A,,,-1,73518,73426,YAL037C-A
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrII,YBR201C-A,MIN7,,-1,624696,624493,MIN7
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrIII,YCL068C,,,-1,12285,11503,YCL068C
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrIII,YCR095W-A,,,1,289797,289639,YCR095W-A
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrIV,YDR249C,,,-1,959802,958681,YDR249C
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrIV,YDR461C-A,CMI8,,-1,1385766,1385524,CMI8
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrIV,YDL007C-A,,,-1,436824,436567,YDL007C-A
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrV,YEL076C-A,,,-1,5114,4185,YEL076C-A
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrV,YER085C,,,-1,328140,327619,YER085C
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrV,YEL075C,,,-1,5713,5345,YEL075C
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrV,YEL076C,,,-1,5114,4464,YEL076C
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrV,YER137C,,,-1,441819,441373,YER137C
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrV,YER186C,,,-1,562625,561705,YER186C
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrV,YER189W,,,1,571523,571155,YER189W
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrV,YER188C-A,,,-1,569907,569608,YER188C-A
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrVI,YFL064C,,,-1,3846,3322,YFL064C
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrVI,YFR057W,,,1,269516,269061,YFR057W
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrVII,YGL258W-A,,,1,9395,9162,YGL258W-A
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrVII,YGL188C-A,,,-1,148964,148824,YGL188C-A
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrVII,YGR053C,MCO32,,-1,595837,594986,MCO32
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrVII,YGR066C,GID10,,-1,621799,620921,GID10
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrVII,YGR201C,,,-1,903197,902520,YGR201C
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrVII,YGL117W,,,1,289309,288512,YGL117W
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrVII,YGR153W,,,1,796745,796092,YGR153W
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrVII,YGR121W-A,,,1,733627,733412,YGR121W-A
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrVII,YGR035W-A,,,1,557786,557565,YGR035W-A
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrVII,YGR146C-A,,,-1,785437,785276,YGR146C-A
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrVIII,YHL049C,,,-1,4541,3726,YHL049C
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrVIII,YHL015W-A,,,1,74782,74699,YHL015W-A
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrIX,YIL014C-A,,,-1,325526,325212,YIL014C-A
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrIX,YIL102C,,,-1,174887,174582,YIL102C
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,chrIX,YIL152W,,,1,57252,56545,YIL152W
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role is unknown; localizes to the mitochondrion in a large scale study,chrIX,YIL055C,,,-1,253925,252042,YIL055C
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role is unknown; localizes to the mitochondrion in large-scale studies,chrXI,YKR005C,,,-1,450167,448521,YKR005C
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role is unknown; localizes to the nucleus and cytoplasm in a large-scale study,chrV,YER079W,,,1,319552,318920,YER079W
Putative protein of unknown function,Putative protein of unknown function,Protein whose biological role is unknown; localizes to the vacuolar membrane in a large-scale study,chrXII,YLR173W,,,1,504247,502421,YLR173W
Putative protein of unknown function,Putative protein of unknown function,,chrXIII,YML116W-A,,,1,37774,37472,YML116W-A
Putative protein of unknown function,Putative protein of unknown function,,chrII,YBR124W,,,1,486866,486507,YBR124W
Putative protein of unknown function,Putative protein of unknown function,,chrIV,YDR340W,,,1,1151183,1150881,YDR340W
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrXI,YKR073C,,,-1,578507,578187,YKR073C
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrXII,YLR111W,,,1,370723,370391,YLR111W
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrXII,YLR112W,,,1,371210,370791,YLR112W
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrXII,YLR255C,,,-1,645953,645600,YLR255C
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrXII,YLR296W,,,1,723304,722978,YLR296W
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrXIII,YMR254C,,,-1,777923,777615,YMR254C
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrXV,YOR343C,,,-1,968474,968148,YOR343C
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrXV,YOL118C,,,-1,96916,96608,YOL118C
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrXV,YOL160W,,,1,14654,14313,YOL160W
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrXV,YOR314W,,,1,903372,903043,YOR314W
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrXVI,YPR195C,,,-1,928294,927965,YPR195C
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrXVI,YPL080C,,,-1,406498,406172,YPL080C
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrIV,YDR157W,,,1,770332,769931,YDR157W
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrIV,YDL242W,,,1,19312,18959,YDL242W
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrIV,YDR010C,,,-1,465383,465051,YDR010C
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrVII,YGR025W,,,1,532941,532639,YGR025W
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrVII,YGR045C,,,-1,584296,583934,YGR045C
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrVII,YGR164W,,,1,828960,828625,YGR164W
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrVIII,YHR139C-A,,,-1,380419,380108,YHR139C-A
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrVIII,YHL041W,,,1,17841,17392,YHL041W
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrVIII,YHR125W,,,1,359163,358858,YHR125W
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrIX,YIL086C,,,-1,200461,200153,YIL086C
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains,,chrIX,YIL012W,,,1,333352,333011,YIL012W
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains; deletion confers sensitivity to citric acid; predicted protein would include a thiol-disulfide oxidoreductase active site,,chrXI,YKL102C,,,-1,248367,248062,YKL102C
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains; identified in a screen for mutants with increased levels of rDNA transcription,Protein whose biological role is unknown; predicted to be a membrane protein,chrII,YBL048W,RRT1,,1,127610,127299,RRT1
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains; identified in a screen for mutants with increased levels of rDNA transcription,,chrXII,YLL030C,RRT7,,-1,80697,80356,RRT7
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains; large-scale analyses show mRNA expression increases under anaerobic conditions and two-hybrid interactions with Sst2p,,chrV,YER188W,,,1,568759,568040,YER188W
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains; not conserved in closely related Saccharomyces species,,chrXI,YKL097C,,,-1,258913,258503,YKL097C
Putative protein of unknown function,"Putative protein of unknown function; conserved across S. cerevisiae strains; not conserved in closely related Saccharomyces species; multicopy suppressor of glucose transport defects, likely due to the presence of an HXT4 regulatory element in the region",,chrVIII,YHR093W,AHT1,"Non-essential gene; null mutant has decreased chromosomal maintenance, and increased colony sectoring, indicative of chromosome instability; null mutant displays decreased resistance to oxidative stress; heterozygous null mutant is haploinsufficient",1,289690,289142,AHT1
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains; null mutant displays elevated sensitivity to expression of a mutant huntingtin fragment or of alpha-synuclein,,chrIV,YDR215C,,,-1,894502,894089,YDR215C
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains; null mutant displays increased levels of spontaneous Rad52 foci,,chrXV,YOR235W,IRC13,,1,780184,779870,IRC13
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains; overlaps ORF YLR235C,,chrXII,YLR236C,,,-1,612117,611794,YLR236C
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains; partially overlaps dubious ORF YFL015W-A; YFL015C is not an essential gene,,chrVI,YFL015C,,,-1,106963,106469,YFL015C
Putative protein of unknown function,"Putative protein of unknown function; conserved across S. cerevisiae strains; partially overlaps snR10, a snoRNA required for preRNA processing",,chrVII,YGL088W,,,1,346201,345836,YGL088W
Putative protein of unknown function,"Putative protein of unknown function; conserved across S. cerevisiae strains; partially overlaps the dubious gene YOR072W-A; diploid deletion strains are methotrexate, paraquat and wortmannin sensitive",,chrXV,YOR072W,,,1,461816,461502,YOR072W
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains; YBR144C is not an essential gene,,chrII,YBR144C,,,-1,533549,533235,YBR144C
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains; YBR209W is not an essential gene,,chrII,YBR209W,,,1,642900,642583,YBR209W
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains; YBR292C is not an essential gene,,chrII,YBR292C,,,-1,785073,784702,YBR292C
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains; YCR025C is not an essential gene,,chrIII,YCR025C,,,-1,163856,163446,YCR025C
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains; YFL019C is not an essential gene,,chrVI,YFL019C,,,-1,100605,100252,YFL019C
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains; YPL062W is not an essential gene; homozygous diploid mutant shows a decrease in glycogen accumulation,,chrXVI,YPL062W,,,1,432299,431895,YPL062W
Putative protein of unknown function,Putative protein of unknown function; conserved across S. cerevisiae strains; YPR014C is not an essential gene,,chrXVI,YPR014C,,,-1,587518,587189,YPR014C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains,,chrX,YJL007C,,,-1,423012,422698,YJL007C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains,,chrXI,YKR032W,,,1,506831,506517,YKR032W
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains,,chrXII,YLR302C,,,-1,732553,732191,YLR302C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains,,chrIV,YDR344C,,,-1,1162449,1162006,YDR344C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains,,chrV,YEL014C,,,-1,128608,128303,YEL014C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains,,chrVI,YFR054C,,,-1,259433,258855,YFR054C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains,,chrVIII,YHL037C,,,-1,26179,25778,YHL037C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains,,chrVIII,YHR180W,,,1,465669,465178,YHR180W
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; located in the upstream region of PMA1; deletion leads to polyamine resistance due to downregulation of PMA1,,chrVII,YGL007W,BRP1,"Non-essential gene; null mutant displays decreased competitive fitness on both fermentative and respiratory growth media, as well as under alkaline conditions; null mutant displays decreased accumulation of cadmium, cobalt, magnesium, and manganese ions; null mutant excretes decreased H2S during cysteine catabolism; null mutant has an increased chronological lifespan; null mutant has decreased resistance to killer toxins; null mutant displays increased survival following a ramped heat stimulus; heterozygous null mutant is haploinsufficient",1,483637,483260,BRP1
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; not conserved in closely related Saccharomyces species; 26% of ORF overlaps the dubious ORF YDR524C-A; insertion mutation in a cdc34-2 mutant background causes altered bud morphology,,chrIV,YDR525W,API2,"Non-essential gene; insertions within the region cause sensitivity to Calcofluor White and staurosporine; in large-scale studies null mutations cause decreased competitive fitness and increased sensitivity to chitosan, Congo Red, arsenite
",1,1490234,1489905,API2
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; not conserved in closely related Saccharomyces species; 98% of ORF overlaps the verified gene MID2,Protein whose biological role and cellular location are unknown,chrXII,YLR331C,JIP3,,-1,791046,790669,JIP3
Putative protein of unknown function,"Putative protein of unknown function; conserved among S. cerevisiae strains, not conserved in closely related Saccharomyces species; protein detected in large-scale protein-protein interaction studies; YJL199C is not an essential gene",,chrX,YJL199C,MBB1,,-1,60182,59856,MBB1
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; overlaps ORF YEL010W,,chrV,YEL009C-A,,,-1,136778,136371,YEL009C-A
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; overlaps verified ORF LSM5/YER146W,,chrV,YER145C-A,,,-1,462823,462386,YER145C-A
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; partially overlaps dubious ORF YLR123C,,chrXII,YLR122C,,,-1,391331,390954,YLR122C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; partially overlaps the verified ORF RSF2,,chrX,YJR128W,,,1,663280,662921,YJR128W
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YBL071C is not an essential gene,,chrII,YBL071C,,,-1,90531,90223,YBL071C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YBR027C is not an essential gene,,chrII,YBR027C,,,-1,294356,294024,YBR027C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YBR032W is not an essential gene,,chrII,YBR032W,,,1,301821,301519,YBR032W
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YCR001W is not an essential gene,,chrIII,YCR001W,,,1,115999,115685,YCR001W
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YCR006C is not an essential gene,,chrIII,YCR006C,,,-1,123003,122530,YCR006C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YCR022C is not an essential gene,,chrIII,YCR022C,,,-1,157765,157421,YCR022C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YCR085W is not an essential gene,,chrIII,YCR085W,,,1,263269,262916,YCR085W
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YDR029W is not an essential gene,,chrIV,YDR029W,,,1,501414,501100,YDR029W
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YDR102C is not an essential gene; homozygous diploid deletion strain exhibits high budding index,,chrIV,YDR102C,,,-1,657980,657648,YDR102C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YDR209C is not an essential gene; partially overlaps uncharacterized gene YDR210W,,chrIV,YDR209C,,,-1,871449,871036,YDR209C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YDR274C is not an essential gene,,chrIV,YDR274C,,,-1,1011960,1011589,YDR274C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YDR278C is not an essential gene,,chrIV,YDR278C,,,-1,1017318,1017001,YDR278C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YEL008W is not an essential gene; predicted to be involved in metabolism,,chrV,YEL008W,,,1,140892,140512,YEL008W
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YEL028W is not an essential gene,,chrV,YEL028W,,,1,99129,98668,YEL028W
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YER135C is not an essential gene,,chrV,YER135C,,,-1,438344,437952,YER135C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YGL034C is not an essential gene,,chrVII,YGL034C,,,-1,433579,433214,YGL034C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YGL118C is not an essential gene,,chrVII,YGL118C,,,-1,288451,288014,YGL118C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YGL149W is not an essential gene,,chrVII,YGL149W,,,1,225877,225572,YGL149W
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YGR039W is not an essential gene,,chrVII,YGR039W,,,1,575199,574888,YGR039W
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YHL005C is not an essential gene,,chrVIII,YHL005C,,,-1,99220,98828,YHL005C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YHR130C is not an essential gene,,chrVIII,YHR130C,,,-1,365300,364965,YHR130C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YLR365W is not an essential gene,,chrXII,YLR365W,,,1,855531,855199,YLR365W
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YML122C is not an essential gene,,chrXIII,YML122C,,,-1,26418,26038,YML122C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YMR007W is not an essential gene,,chrXIII,YMR007W,,,1,280340,279960,YMR007W
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YMR082C is not an essential gene,,chrXIII,YMR082C,,,-1,432125,431769,YMR082C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YMR103C is not an essential gene,,chrXIII,YMR103C,,,-1,473264,472902,YMR103C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YMR122C is not an essential gene,,chrXIII,YMR122C,,,-1,511075,510701,YMR122C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YMR141C is not an essential gene,,chrXIII,YMR141C,,,-1,550044,549736,YMR141C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YMR320W is not an essential gene,,chrXIII,YMR320W,,,1,917051,916746,YMR320W
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YOL085C is not an essential gene; partially overlaps dubious ORF YOL085W-A,,chrXV,YOL085C,,,-1,162014,161673,YOL085C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YOR015W is not an essential gene,,chrXV,YOR015W,,,1,360352,359993,YOR015W
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YOR029W is not an essential gene,,chrXV,YOR029W,,,1,384935,384600,YOR029W
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YOR376W is not an essential gene,,chrXV,YOR376W,,,1,1043559,1043191,YOR376W
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YPL261C is not an essential gene; partially overlaps verified ORF YPL260W,,chrXVI,YPL261C,,,-1,49304,48996,YPL261C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YPR053C is not an essential gene; partially overlaps verified ORF NHP6A/YPR052C,,chrXVI,YPR053C,,,-1,666243,665788,YPR053C
Putative protein of unknown function,Putative protein of unknown function; conserved among S. cerevisiae strains; YPR064W is not an essential gene,,chrXVI,YPR064W,,,1,679370,678951,YPR064W
Putative protein of unknown function,"Putative protein of unknown function; conserved in A. gossypii; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",Protein whose biological role is unknown; localizes to the mitochondrion in a large-scale study,chrXV,YOR020W-A,MCO10,,1,371957,371685,MCO10
Putative protein of unknown function,Putative protein of unknown function; conserved in fungi; identified by expression profiling and mass spectrometry,Protein whose biological role and cellular location are unknown,chrVII,YGL041W-A,DPC13,,1,419289,418825,DPC13
Putative protein of unknown function,"Putative protein of unknown function; conserved in fungi; SWAT-GFP fusion protein localizes to the vacuole membrane; partially overlaps the dubious genes YPR169W-A, YPR170W-A and YRP170C",Protein whose biological role and cellular location are unknown,chrXVI,YPR170W-B,,,1,883595,883239,YPR170W-B
Putative protein of unknown function,Putative protein of unknown function; contained within the solo Ty1 LTR element YDRWdelta7,Protein whose biological role and cellular location are unknown,chrIV,YDR034C-A,,,-1,520692,520516,YDR034C-A
Putative protein of unknown function,Putative protein of unknown function; contains a BTB/POZ domain which generally function in protein interactions; deletion slightly improved competitive fitness in rich media; GFP-tagged protein is localized to the cytoplasm,Protein whose biological role is unknown; localizes to the cytoplasm in a large-scale study,chrIX,YIL001W,,,1,355481,353940,YIL001W
Putative protein of unknown function,Putative protein of unknown function; contains a zinc finger motif similar to that of Adr1p,,chrVII,YGR067C,,,-1,624786,622372,YGR067C
Putative protein of unknown function,Putative protein of unknown function; deletion causes sensitivity to unfolded protein response-inducing agents,,chrXV,YOR093C,CMR2,,-1,502452,497506,CMR2
Putative protein of unknown function,Putative protein of unknown function; deletion confers reduced fitness in saline,Protein whose biological role is unknown; localizes to the cytoplasm in a large-scale study,chrXIV,YNR029C,,,-1,678488,677199,YNR029C
Putative protein of unknown function,"Putative protein of unknown function; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO); YIL029C has a paralog, YPR071W, that arose from a single-locus duplication",Predicted integral membrane protein whose biological role is unknown,chrIX,YIL029C,EMA17,,-1,301257,300829,EMA17
Putative protein of unknown function,Putative protein of unknown function; deletion mutant exhibits poor growth at elevated pH and calcium,Protein whose biological role and cellular location are unknown,chrIV,YDR114C,,,-1,682226,681924,YDR114C
Putative protein of unknown function,Putative protein of unknown function; deletion mutant exhibits synthetic phenotype with alpha-synuclein,Protein whose biological role and cellular location are unknown,chrVI,YFR035C,,,-1,226465,226121,YFR035C
Putative protein of unknown function,Putative protein of unknown function; deletion mutant has decreased rapamycin resistance but normal wormannin resistance; green fluorescent protein (GFP)-fusion protein localizes to the vacuole,Predicted integral membrane protein whose biological role is unknown; localizes to the vacuole in a large-scale study,chrVII,YGR125W,,,1,745435,742325,YGR125W
Putative protein of unknown function,Putative protein of unknown function; deletion mutant has no detectable phenotype,Protein whose biological role and cellular location are unknown,chrVII,YGL159W,,,1,203833,202721,YGL159W
Putative protein of unknown function,Putative protein of unknown function; deletion mutant is fluconazole resistant and has long chronological lifespan,Protein whose biological role and cellular location are unknown,chrXVI,YPL056C,LCL1,,-1,453735,453430,LCL1
Putative protein of unknown function,Putative protein of unknown function; deletion mutant is viable and has no detectable phenotype,Protein whose biological role and cellular location are unknown,chrVII,YGL176C,,,-1,173079,171415,YGL176C
Putative protein of unknown function,Putative protein of unknown function; detected in highly purified mitochondria in high-throughput studies; proposed to be involved in resistance to mechlorethamine and streptozotocin; null mutant sensitive to expression of top1-T722A allele,,chrXII,YLR426W,TDA5,,1,988113,987062,TDA5
Putative protein of unknown function,Putative protein of unknown function; encoded opposite a Ty1 LTR,,chrIII,YCR018C-A,,,-1,151862,151608,YCR018C-A
Putative protein of unknown function,Putative protein of unknown function; epitope-tagged protein localizes to the cytoplasm,Protein whose biological role is unknown; localizes to the cytoplasm in a large-scale study,chrXI,YKR045C,,,-1,523969,523418,YKR045C
Putative protein of unknown function,Putative protein of unknown function; epitope-tagged protein localizes to the cytoplasm,Protein whose biological role is unknown; localizes to the cytoplasm in a large-scale study,chrIII,YCL042W,,,1,50943,50584,YCL042W
Putative protein of unknown function,"Putative protein of unknown function; epitope-tagged protein localizes to the cytoplasm; YHR033W has a paralog, PRO1, that arose from the whole genome duplication",Protein whose biological role is unknown; localizes to the cytoplasm in a large scale study,chrVIII,YHR033W,,,1,176819,175548,YHR033W
Putative protein of unknown function,"Putative protein of unknown function; exhibits a two-hybrid interaction with Jsn1p in a large-scale analysis; YLR156W has a paralog, YLR159W, that arose from a segmental duplication",Protein whose biological role and cellular location are unknown,chrXII,YLR156W,,,1,472457,472113,YLR156W
Putative protein of unknown function,Putative protein of unknown function; exhibits a two-hybrid interaction with Yhr151cp in a large-scale analysis,Protein whose biological role and cellular location are unknown,chrXIV,YNL193W,,,1,276044,274368,YNL193W
Putative protein of unknown function,"Putative protein of unknown function; exhibits homology to C-terminal end of Bul1p; expressed as a readthrough product of BSC5, the readthrough locus being termed BUL3; the BUL3 readthrough product is involved in ubiquitin-mediated sorting of plasma membrane proteins and interacts with WW domains of Rsp5p in vitro, but in a functionally different way than the non-readthrough form",Protein whose biological role and cellular location are unknown,chrXIV,YNR068C,,,-1,760885,760067,YNR068C
Putative protein of unknown function,Putative protein of unknown function; expression depends on Swi5p; GFP-fusion protein localizes to the endoplasmic reticulum; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO),Protein whose biological role is unknown; localizes to the endoplasmic reticulum in a large-scale study,chrXIV,YNL046W,,,1,542822,542304,YNL046W
Putative protein of unknown function,"Putative protein of unknown function; expression directly regulated by the metabolic and meiotic transcriptional regulator Ume6p; overexpression causes a cell cycle delay or arrest; non-essential gene; YIR016W has a paralog, YOL036W, that arose from the whole genome duplication",Protein whose biological role and cellular location are unknown,chrIX,YIR016W,,,1,383425,382628,YIR016W
Putative protein of unknown function,"Putative protein of unknown function; expression downregulated by treatment with 8-methoxypsoralen plus UVA irradiation; not an essential gene; YGR273C has a paralog, YMR295C, that arose from the whole genome duplication",Protein whose biological role and cellular location are unknown,chrVII,YGR273C,,,-1,1039239,1038715,YGR273C
